dt1,open,high,low,close,volume
2023-01-09 08:00:00,1311.93,1318.7,1308.34,1310.16,21275.0432
2023-01-09 09:00:00,1310.16,1325.0,1309.47,1317.25,30824.4814
2023-01-09 10:00:00,1317.26,1327.5,1316.44,1322.77,25971.3901
2023-01-09 11:00:00,1322.76,1324.24,1317.24,1318.27,15691.8591
2023-01-09 12:00:00,1318.28,1322.45,1315.44,1319.88,16209.4468
2023-01-09 13:00:00,1319.89,1325.79,1316.45,1319.57,17511.0879
2023-01-09 14:00:00,1319.58,1331.42,1316.21,1326.06,30959.223
2023-01-09 15:00:00,1326.05,1341.86,1323.19,1335.68,48879.9713
2023-01-09 16:00:00,1335.69,1344.89,1335.68,1337.9,36174.9204
2023-01-09 17:00:00,1337.9,1344.51,1336.48,1341.56,16748.7533
2023-01-09 18:00:00,1341.56,1344.91,1331.33,1334.99,28206.2913
2023-01-09 19:00:00,1335.0,1335.46,1330.11,1330.12,13165.3884
2023-01-09 20:00:00,1330.11,1331.62,1316.42,1321.53,31349.2045
2023-01-09 21:00:00,1321.54,1325.11,1316.39,1318.61,15156.6189
2023-01-09 22:00:00,1318.6,1324.0,1317.48,1320.92,10397.5406
2023-01-09 23:00:00,1320.93,1323.0,1315.08,1320.39,10243.1074
2023-01-10 00:00:00,1320.4,1327.5,1320.3,1327.42,15122.7975
2023-01-10 01:00:00,1327.42,1329.45,1322.6,1324.64,32162.7667
2023-01-10 02:00:00,1324.63,1328.25,1316.8,1321.26,27140.6952
2023-01-10 03:00:00,1321.26,1325.0,1319.39,1324.71,11657.891
2023-01-10 04:00:00,1324.71,1328.38,1323.0,1328.15,25146.2685
2023-01-10 05:00:00,1328.15,1328.68,1323.65,1327.15,24204.2616
2023-01-10 06:00:00,1327.16,1327.38,1322.7,1324.91,12459.728
2023-01-10 07:00:00,1324.92,1325.27,1322.49,1323.23,8992.9818
2023-01-10 08:00:00,1323.22,1332.35,1321.7,1328.31,19769.5719
2023-01-10 09:00:00,1328.31,1331.96,1326.83,1329.89,9017.2374
2023-01-10 10:00:00,1329.9,1334.73,1328.85,1333.77,10401.0689
2023-01-10 11:00:00,1333.77,1333.87,1328.53,1329.32,13887.3384
2023-01-10 12:00:00,1329.32,1330.16,1324.85,1325.63,10120.1262
2023-01-10 13:00:00,1325.63,1329.01,1323.07,1328.28,15961.8542
2023-01-10 14:00:00,1328.29,1337.0,1324.58,1332.12,32931.2399
2023-01-10 15:00:00,1332.13,1340.9,1328.68,1333.97,31704.685
2023-01-10 16:00:00,1333.97,1334.75,1328.0,1330.27,27193.3901
2023-01-10 17:00:00,1330.27,1332.54,1329.0,1331.95,13837.4544
2023-01-10 18:00:00,1331.94,1342.27,1331.55,1341.08,30857.1627
2023-01-10 19:00:00,1341.08,1344.04,1338.5,1339.48,22563.0593
2023-01-10 20:00:00,1339.48,1347.69,1335.08,1341.98,22371.3361
2023-01-10 21:00:00,1341.97,1343.21,1338.76,1339.01,14307.3162
2023-01-10 22:00:00,1339.0,1339.45,1334.45,1334.46,11972.083
2023-01-10 23:00:00,1334.45,1338.17,1333.8,1335.62,15877.9167
2023-01-11 00:00:00,1335.63,1340.39,1334.3,1337.75,12866.9554
2023-01-11 01:00:00,1337.75,1341.5,1335.0,1337.92,12027.7192
2023-01-11 02:00:00,1337.92,1338.45,1330.14,1330.2,16051.7099
2023-01-11 03:00:00,1330.21,1332.09,1327.29,1331.07,19393.3591
2023-01-11 04:00:00,1331.07,1332.41,1329.0,1330.56,9040.1825
2023-01-11 05:00:00,1330.56,1334.17,1329.92,1330.87,6772.5078
2023-01-11 06:00:00,1330.87,1333.88,1327.19,1333.51,16196.4637
2023-01-11 07:00:00,1333.51,1335.7,1332.73,1335.52,9480.8077
2023-01-11 08:00:00,1335.53,1335.77,1331.39,1334.67,12381.6658
2023-01-11 09:00:00,1334.67,1337.69,1334.41,1335.13,7281.7099
2023-01-11 10:00:00,1335.12,1338.2,1334.38,1336.13,7356.814
2023-01-11 11:00:00,1336.13,1338.06,1334.0,1336.45,14232.1779
2023-01-11 12:00:00,1336.44,1336.45,1332.0,1332.47,9052.0538
2023-01-11 13:00:00,1332.48,1335.72,1329.78,1333.26,8561.6252
2023-01-11 14:00:00,1333.27,1334.65,1328.66,1332.51,14291.4935
2023-01-11 15:00:00,1332.51,1334.98,1321.04,1323.04,27697.1144
2023-01-11 16:00:00,1323.05,1327.34,1321.86,1325.01,14253.3807
2023-01-11 17:00:00,1325.0,1329.19,1324.43,1327.57,7434.5155
2023-01-11 18:00:00,1327.57,1345.0,1327.52,1337.72,38723.7337
2023-01-11 19:00:00,1337.72,1344.56,1335.14,1342.92,22737.1782
2023-01-11 20:00:00,1342.91,1345.0,1340.44,1341.56,23701.0094
2023-01-11 21:00:00,1341.56,1344.74,1339.43,1342.63,21599.5192
2023-01-11 22:00:00,1342.63,1360.0,1340.39,1349.32,58171.764
2023-01-11 23:00:00,1349.33,1398.0,1349.32,1389.39,83160.4951
2023-01-12 00:00:00,1389.4,1418.77,1386.0,1415.23,77872.9296
